Serial Number,Model,Description,Building,Phenomena,Zone,IP,Slave
RMS9D0034,GERMS9D,ELEVATOR 2 (FREIGHT),STF,Elevator,,205.168.85.100/5002,Slave 34
RMS9D0035,GERMS9D,ATS,STF,NA,,205.168.85.100/5002,Slave 35
RMS9D0036,GERMS9D,BUSWAY N2,STF,NA,,205.168.85.100/5002,Slave 36
RMS9D0038,GERMS9D,PANEL 2MPDP1,STF,NA,,205.168.85.100/5002,Slave 38
RMS9D0039,GERMS9D,SPARE,STF,NA,,205.168.85.100/5002,Slave 39
RMS9D0040,GERMS9D,BUSWAY S1,STF,NA,,205.168.85.100/5002,Slave 40
RMS9D0041,GERMS9D,CHILLER CH-4,STF,Thermal,,205.168.85.100/5002,Slave 41
RMS9D0042,GERMS9D,PANEL: 1DPH1,STF,NA,,205.168.85.100/5002,Slave 42
RMS9D0043,GERMS9D,BUSWAY S2,STF,NA,,205.168.85.100/5002,Slave 43
RMS9D0044,GERMS9D,STF MAIN,STF,NA,,205.168.85.100/5002,Slave 44
STF,BACPULSE1,,STF,,,192.174.36.28/80,Master
TTF BTU,BACPULSE1,,TTF,,,192.174.36.28/80,Master
A2787624,GE750,TURBINE ROW 1 750,Turbine Row 1,Wind,,192.88.248.93/5002,Slave 9
A2773166,GE750,TURBINE ROW 3 750,Turbine Row 3,Wind,,192.88.248.93/5002,Slave 7
A2773164,GE750,TURBINE ROW 4 750,Turbine Row 4,Wind,,192.88.248.93/5002,Slave 6
A2787620,GE750,MET TOWER 750,Turbine Site 4.0,Wind,,192.88.248.93/5002,Slave 5
C6520780,GEPQM,VISITOR CENTER,Visitor Center,Building,,199.117.155.37/5001,Slave 1
SEBMain,GEPQMII,SEB-Main,SEB Electrical Room-E. Wall,,,10.40.186.26/5001,Slave 1
SEBLSASolar1,GEPQMII,SEB-LSA Solar PV Feed #1,SEB Electrical Room-S. Wall,,,10.40.186.26/5001,Slave 5
SEBLSASolar2,GEPQMII,SEB-LSA Solar PV Feed #2,SEB Electrical Room-S. Wall,,,10.40.186.26/5001,Slave 6
SEBLSMMechanical,GEPQMII,SEB-LSM Mechanical Equipment,SEB Electrical Room-E. Wall,,,10.40.186.26/5001,Slave 2
SEBLSLLighting,GEPQMII,SEB-LSL Interior and Exterior Lighting,SEB Electrical Room-S. Wall,,,10.40.186.26/5001,Slave 3
SEBLSRGatesReceptacles,GEPQMII,SEB-LSR Parking Gates and Receptacles,SEB Electrical Room-S. Wall,,,10.40.186.26/5001,Slave 4
SEBLSUSecurity,GEPQMII,SEB-LSU Security Access Control and UPS,SEB Electrical Room-W. Wall,,,10.40.186.26/5001,Slave 7
GARHY11GarageLighting,GEPQMII,GAR-HY11 Garage Interior Lighting,Garage:Electrical Room,,,10.40.186.26/5001,Slave 14
GARHE11Elevators,GEPQMII,GAR-HE11 Elevators and LS11/LQ11,Garage:Electrical Room,,,10.40.186.26/5001,Slave 13
GARTS11LS31,GEPQMII,GAR-TS11 LS31/LS32 and Security Equip,Garage:Electrical Room,,,10.40.186.26/5001,Slave 16
GARTR42Receptacles,GEPQMII,GAR-TR42 Receptacles W Levels 3/4/5,Garage:Elec Room W. 3rd Lvl,,,10.40.186.26/5001,Slave 8
GARLR42Misc,GEPQMII,GAR-LR42 ???,Garage:Electrical Room,,,10.40.186.26/5001,Slave 18
GARTV11TV21TV22,GEPQMII,GAR-TV11 TV21/TV22 for EVCS Stations,Garage:Electrical Room,,,10.40.186.26/5001,Slave 10
GARTR11LR11,GEPQMII,GAR-TR11 LR11,Garage:Electrical Room,,,10.40.186.26/5001,Slave 12
GARLR11Signs,GEPQMII,GAR-LR11 Signs Ctrs, Rec's E Levels 1/2,Garage:Electrical Room,,,10.40.186.26/5001,Slave 15
GARTR41LR41,GEPQMII,GAR-TR41 LR41,Garage:Electrical Room,,,10.40.186.26/5001,Slave 11
GARLR41Receptacles,GEPQMII,GAR-LR41 Receptacles E Levels 3/4/5,Garage:Elec Room E. 3rd Lvl,,,10.40.186.26/5001,Slave 17
GARHM11Mechanical,GEPQMII,GAR-HM11 Mech Equipment and LM11,Garage:ATS Room,,,10.40.186.26/5001,Slave 9
RSF2MAIN,GEPQMII,SWBN Main Meter,,Building,,10.40.16.10/5001,Slave 1
RSF2PV,GEPQMII,Rooftop Solar,,Solar,,10.40.16.10/5001,Slave 2
RSF2HLTG,GEPQMII,H2 H3 H4 and H5 Light,,Lighting,,10.40.16.10/5001,Slave 3
RSF2L,GEPQMII,L2 L3 L4 and L5 Series,,Plug,,10.40.16.10/5001,Slave 8
RSF2ELVS,GEPQMII,Freight Elevator,,Elevator,,10.40.16.10/5001,Slave 4
RSF2AC1,GEPQMII,AC Unit 1,,Thermal,,10.40.16.10/5001,Slave 7
RSF2AC2,GEPQMII,AC Unit 2 and 2a,,Thermal,,10.40.16.10/5001,Slave 5
RSF2AC3,GEPQMII,AC Unit 3,,Thermal,,10.40.16.10/5001,Slave 6
RSF2EN1,GEPQMII,Emergency Lighting,,Lighting,,10.40.16.10/5001,Slave 9
RSF2ELN1,GEPQMII,Emergency Panels,,Emergency,,10.40.16.10/5001,Slave 11
RSF2ELV2,GEPQMII,Occupent Elevaotor,,Elevator,,10.40.16.10/5001,Slave 10
